"menu1","menu2"
"Content",""
"Content","Assets"
"Content","Pages"
"Content","Recycle Bin"
"Manage",""
"Manage","Users"
"Manage","Roles"
"Manage","Themes"
"Manage","Sites "
"Manage","Admin Logs"
"Settings",""
"Settings","Site Settings"
"Settings","Security"
"Settings","SEO"
"Settings","Vocabularies"
"Settings","Scheduler"
"Logout",""
"Edit",""
