menu1,menu2,left1,top1,left2,top2,hori,vert,left1pc,top1pc,left2pc,top2pc
Profile,,2,410,,,443,807,0.441501104,52.36270754,,
Edit,,2,460,,,443,807,0.441501104,58.74840358,,
