cpdiv,cpimage,cpcoords,cp1,cp2,cp3,cptabimage,cptab1,cptab2,cpfield,pbdiv,pb1,pb2,pbtab1,pbtab2,pbfield,howto,addinfo
div-menuTools,scr-menuTools.png,"527,1,605,53",Users,,,,div-menuUsers,,,,,,,,,,
div-menuTools,scr-menuTools.png,"610,1,710,53",OnDemand,,,,div-menuOnDemand,,,,,,,,,,
div-menuTools,scr-menuTools.png,,Tools,,Upload File,,,,,,Content,Assets,Add Asset,,,assets/add-assets.dita,Also in other contextual uploads.
div-menuTools,scr-menuTools.png,,Tools,,Clear Cache,,,,,,Settings,Servers,<uicontrol>Clear Cache</uicontrol> button,,,,
div-menuTools,scr-menuTools.png,,Tools,,Restart Application,,,,,,Settings,Servers,<uicontrol>Restart Application</uicontrol> button,,,,
div-menuTools,scr-menuTools.png,,Tools,,Go to website,,,,,,Manage,Sites,,,,,
div-menuHelp,scr-menuHelp.png,"111,1,174,53",Admin,,,,div-menuAdminCommon,,,,,,,,,,
div-menuHelp,scr-menuHelp.png,"175,1,224,53",Host,,,,div-menuHost,,,,,,,,,,
div-menuHelp,scr-menuHelp.png,"226,1,275,53",Tools,,,,div-menuTools,,,,,,,,,,
div-menuHelp,scr-menuHelp.png,"280,1,329,53",Help,,,,div-menuHelp,,,,,,,,,,
div-menuHelp,scr-menuHelp.png,"357,1,448,53",Modules,,,,div-menuModules,,,,,,,,,,
div-menuHelp,scr-menuHelp.png,"454,1,523,53",Pages,,,,div-menuPages,,,,,,,,,,
div-menuHelp,scr-menuHelp.png,"527,1,605,53",Users,,,,div-menuUsers,,,,,,,,,,
div-menuHelp,scr-menuHelp.png,"610,1,710,53",OnDemand,,,,div-menuOnDemand,,,,,,,,,,
div-menuHelp,scr-menuHelp.png,,Help,,Online Help,,,,,,[logo],Documentation,,,,,
div-menuModules,scr-menuModules.png,"111,1,174,53",Admin,,,,div-menuAdminCommon,,,,,,,,,,
div-menuModules,scr-menuModules.png,"175,1,224,53",Host,,,,div-menuHost,,,,,,,,,,
div-menuModules,scr-menuModules.png,"226,1,275,53",Tools,,,,div-menuTools,,,,,,,,,,
div-menuModules,scr-menuModules.png,"280,1,329,53",Help,,,,div-menuHelp,,,,,,,,,,
div-menuModules,scr-menuModules.png,"357,1,448,53",Modules,,,,div-menuModules,,,,,,,,,,
div-menuModules,scr-menuModules.png,"454,1,523,53",Pages,,,,div-menuPages,,,,,,,,,,
div-menuModules,scr-menuModules.png,"527,1,605,53",Users,,,,div-menuUsers,,,,,,,,,,
div-menuModules,scr-menuModules.png,"610,1,710,53",OnDemand,,,,div-menuOnDemand,,,,,,,,,,
div-menuModules,scr-menuModules.png,,Modules,,Add New Module,,,,,,<uicontrol>Edit Bar</uicontrol> and on the page,,,,,,
div-menuModules,scr-menuModules.png,,Modules,,Add Existing Module,,,,,,<uicontrol>Edit Bar</uicontrol> and on the page,,,,,,
div-menuModules,scr-menuModules.png,,Modules,,Create Module,,,,,,Settings,Extensions,<uicontrol>Create New Module</uicontrol> button,,,,
div-menuModules,scr-menuModules.png,,Modules,,Find More Modules,,,,,,(deprecated),,,,,,
div-menuPages,scr-menuPages.png,"111,1,174,53",Admin,,,,div-menuAdminCommon,,,,,,,,,,
div-menuPages,scr-menuPages.png,"175,1,224,53",Host,,,,div-menuHost,,,,,,,,,,
div-menuPages,scr-menuPages.png,"226,1,275,53",Tools,,,,div-menuTools,,,,,,,,,,
div-menuPages,scr-menuPages.png,"280,1,329,53",Help,,,,div-menuHelp,,,,,,,,,,
div-menuPages,scr-menuPages.png,"357,1,448,53",Modules,,,,div-menuModules,,,,,,,,,,
div-menuPages,scr-menuPages.png,"454,1,523,53",Pages,,,,div-menuPages,,,,,,,,,,
div-menuPages,scr-menuPages.png,"527,1,605,53",Users,,,,div-menuUsers,,,,,,,,,,
div-menuPages,scr-menuPages.png,"610,1,710,53",OnDemand,,,,div-menuOnDemand,,,,,,,,,,
div-menuPages,scr-menuPages.png,,Pages,,Add New Page,,,,,,Content,Pages,<uicontrol>Add Page</uicontrol> or <uicontrol>Add Multiple Pages</uicontrol>,,,pages-templates/create-page-pb-all.dita,
div-menuPages,scr-menuPages.png,,Pages,,Copy Page,,,,,,Content,Pages,,,,pages-templates/copy-page-pb-all.dita,
div-menuPages,scr-menuPages.png,,Pages,,Copy Permissions to Children,,,,,,Content,Pages,"Click/Tap the gear icon, and go to the <uicontrol>Permissions</uicontrol> tab.",<uicontrol>Copy Permissions to Descendant Pages</uicontrol>ÿbutton,,,
div-menuPages,scr-menuPages.png,,Pages,,Import Page,,,,,,Content,Pages,<uicontrol>Add Page</uicontrol> or <uicontrol>Add Multiple Pages</uicontrol>,"In <uicontrol>Template Mode</uicontrol>, select <uicontrol>Import from XML</uicontrol>.",,,
div-menuUsers,scr-menuUsers.png,"111,1,174,53",Admin,,,,div-menuAdminCommon,,,,,,,,,,
div-menuUsers,scr-menuUsers.png,"175,1,224,53",Host,,,,div-menuHost,,,,,,,,,,
div-menuUsers,scr-menuUsers.png,"226,1,275,53",Tools,,,,div-menuTools,,,,,,,,,,
div-menuUsers,scr-menuUsers.png,"280,1,329,53",Help,,,,div-menuHelp,,,,,,,,,,
div-menuUsers,scr-menuUsers.png,"357,1,448,53",Modules,,,,div-menuModules,,,,,,,,,,
div-menuUsers,scr-menuUsers.png,"454,1,523,53",Pages,,,,div-menuPages,,,,,,,,,,
div-menuUsers,scr-menuUsers.png,"527,1,605,53",Users,,,,div-menuUsers,,,,,,,,,,
div-menuUsers,scr-menuUsers.png,"610,1,710,53",OnDemand,,,,div-menuOnDemand,,,,,,,,,,
div-menuUsers,scr-menuUsers.png,,Users,,Add New User,,,,,,Manage,Users,<uicontrol>Add User</uicontrol> button,,,user-accounts/create-user-account.dita,
div-menuUsers,scr-menuUsers.png,,Users,,Manage Users,,,,,,Manage,Users,<uicontrol>Add User</uicontrol> button,,,user-accounts/about-user-accounts.dita,
div-menuUsers,scr-menuUsers.png,,Users,,Manage Roles,,,,,,Manage,Roles,,,,roles/about-role-based-access.dita,
div-menuOnDemand,scr-menuOnDemand.png,"111,1,174,53",Admin,,,,div-menuAdminCommon,,,,,,,,,,
div-menuOnDemand,scr-menuOnDemand.png,"175,1,224,53",Host,,,,div-menuHost,,,,,,,,,,
div-menuOnDemand,scr-menuOnDemand.png,"226,1,275,53",Tools,,,,div-menuTools,,,,,,,,,,
div-menuOnDemand,scr-menuOnDemand.png,"280,1,329,53",Help,,,,div-menuHelp,,,,,,,,,,
div-menuOnDemand,scr-menuOnDemand.png,"357,1,448,53",Modules,,,,div-menuModules,,,,,,,,,,
div-menuOnDemand,scr-menuOnDemand.png,"454,1,523,53",Pages,,,,div-menuPages,,,,,,,,,,
div-menuOnDemand,scr-menuOnDemand.png,"527,1,605,53",Users,,,,div-menuUsers,,,,,,,,,,
div-menuOnDemand,scr-menuOnDemand.png,"610,1,710,53",OnDemand,,,,div-menuOnDemand,,,,,,,,,,
div-menuOnDemand,scr-menuOnDemand.png,,OnDemand,,Manage Account,,,,,,(not yet available),,,,,,
div-menuOnDemand,scr-menuOnDemand.png,,OnDemand,,Manage Exports,,,,,,(not yet available),,,,,,
div-menuOnDemand,scr-menuOnDemand.png,,OnDemand,,Check for Updates,,,,,,Settings,Site Settings,Site Behavior,More,,,<uicontrol>Check for Software Upgrades</uicontrol>
div-menuOnDemand,scr-menuOnDemand.png,,OnDemand,,Manage Updates,,,,,,(not yet available),,,,,,
div-menuOnDemand,scr-menuOnDemand.png,,OnDemand,,Start Site Maintenance,,,,,,(not yet available),,,,,,
div-menuOnDemand,scr-menuOnDemand.png,,OnDemand,,Getting Started Guide,,,,,,[logo],Documentation,,,,,
div-menuOnDemand,scr-menuOnDemand.png,,OnDemand,,Get Support,,,,,,[logo],Contact Support,,,,,
div-menuOnDemand,scr-menuOnDemand.png,,OnDemand,,FTP Access,,,,,,(not yet available),,,,,,
div-menuEditPage,scr-menuEditPage.png,"111,1,174,53",Admin,,,,div-menuAdminCommon,,,,,,,,,,
div-menuEditPage,scr-menuEditPage.png,"175,1,224,53",Host,,,,div-menuHost,,,,,,,,,,
div-menuEditPage,scr-menuEditPage.png,"226,1,275,53",Tools,,,,div-menuTools,,,,,,,,,,
div-menuEditPage,scr-menuEditPage.png,"280,1,329,53",Help,,,,div-menuHelp,,,,,,,,,,
div-menuEditPage,scr-menuEditPage.png,"357,1,448,53",Modules,,,,div-menuModules,,,,,,,,,,
div-menuEditPage,scr-menuEditPage.png,"454,1,523,53",Pages,,,,div-menuPages,,,,,,,,,,
div-menuEditPage,scr-menuEditPage.png,"527,1,605,53",Users,,,,div-menuUsers,,,,,,,,,,
div-menuEditPage,scr-menuEditPage.png,"610,1,710,53",OnDemand,,,,div-menuOnDemand,,,,,,,,,,
div-menuEditPage,scr-menuEditPage.png,,Edit Page,,,,,,,,<uicontrol>Edit</uicontrol> (pencil) icon at the bottom of the Persona Bar,,,,,,
