cpdiv,cpimage,cpcoords,cp1,cp2,cp3,cptabimage,cptab1,cptab2,cpfield,pbdiv,pb1,pb2,pbtab1,pbtab2,pbfield,howto,addinfo
div-menuAdminCommon,scr-menuAdminCommon.png,"320,135,464,188",Admin,Common,Site Settings,,User Account Settings,Login Settings,,,Settings,Security,Login Settings,,,,
div-menuAdminCommon,scr-menuAdminCommon.png,"320,135,464,188",Admin,Common,Site Settings,,User Account Settings,Profile Settings,,,Settings,Site Behavior,User Profiles,,,,
div-menuAdminCommon,scr-menuAdminCommon.png,"320,135,464,188",Admin,Common,Site Settings,,Stylesheet Editor,,,,Settings,Custom CSS,,,,,
div-menuAdminCommon,scr-menuAdminCommon.png,"320,135,464,188",Admin,Common,Site Settings,,Advanced URL Settings,URL Settings,,,Settings,SEO,URL Management,General Settings,,,
div-menuAdminCommon,scr-menuAdminCommon.png,"320,135,464,188",Admin,Common,Site Settings,,Advanced URL Settings,Extension URL Providers,,,(not yet available),,,,,,
div-menuAdminCommon,scr-menuAdminCommon.png,"468,135,610,190",Admin,Common,User Accounts,,,,,,Manage,Users,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"111,1,174,53",Admin,,,,div-menuAdminCommon,,,,,,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"175,1,224,53",Host,,,,div-menuHost,,,,,,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"226,1,275,53",Tools,,,,div-menuTools,,,,,,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"280,1,329,53",Help,,,,div-menuHelp,,,,,,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"357,1,448,53",Modules,,,,div-menuModules,,,,,,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"454,1,523,53",Pages,,,,div-menuPages,,,,,,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"527,1,605,53",Users,,,,div-menuUsers,,,,,,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"610,1,710,53",OnDemand,,,,div-menuOnDemand,,,,,,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,,Admin,Common,,,div-menuAdminCommon,,,,,,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,,Admin,Advanced,,,div-menuAdminAdvanced,,,,,,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"171,77,317,132 ",Admin,Advanced,Advanced URL Management,,General,,,,Settings,SEO,URL Management,General Settings,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"171,77,317,132 ",Admin,Advanced,Advanced URL Management,,Regular Expressions,,,,Settings,SEO,URL Management,Expressions,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"171,77,317,132 ",Admin,Advanced,Advanced URL Management,,Test URL,,,,Settings,SEO,URL Management,Test URL,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"319,77,464,132 ",Admin,Advanced,Extensions,,,,,,Settings,Extensions,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"465,77,611,132 ",Admin,Advanced,Google Analytics Pro,,,,,,Settings,Connectors,,,,,
